id;sku;descricao;estoque;custo_medio
1033279641.0;KIT-BLO2-MB-FE2;Kit Yoga Completo Com Bloco, Mini Band E Faixa Elástica;37.0;33.29
971396043.0;KIT-SUB-PATELAR-HIDRO;Joelheira Sub Patelar + Faixa Sub Patelar Ajustavel Unissex Bilateral Suporte Tendinite Com Faixa Tira Sub Patelar Tenso;32.0;29.09
970870528.0;KIT18-KITELAST-MINI-HAND-CORDA;Kit 18 Itens Treino Elástico Mini Band Handgrip Corda Faixa;216.0;33.37
1033056658.0;KIT2BLO-2FAIXA;Kit Yoga Pilates Treino Em Casa Com Faixas E Blocos Yoga;37.0;28.7
975146561.0;KITELASTICO-HAND-MINI;Kit 17 Itens - Elasticos Extensor + Mini Band + Handgrip;216.0;28.26
975144186.0;KITELASTICO-MINIBAND;Kit 11 Extensor Elástico Treino Em Casa + Kit 5 Mini Band;215.0;21.93
1002524471.0;KITHAND+DEDOS;Kit  Aparelho Hand Grip + Exercitador Mãos Dedo Fisioterapia;264.0;11.33
1010992255.0;KITHAND+DEDOS2;Kit de exercitador de dedos + hand ( shopee) - Kit Hand + Exercitador;264.0;11.33
970020487.0;KITJOELHEIRAG2X;Kit 2 Joelheiras Crossfit Articulada Compressão Ortopédica - G;55.0;22.34
970020320.0;KITJOELHEIRAGG2X;Kit 2 Joelheiras Crossfit Articulada Compressão Ortopédica - GG;33.0;22.32
;KITJOELHEIRAM2X;;0.0;0.0
993796882.0;KITSUPERBAND;Kit 3 Faixa Elástica Super Band Para Treino Exercícios;152.0;42.86
970456966.0;BLOCOYOGA2X;2 Blocos Para Exercícios Alongamento Yoga Pilates Meditação;1032.0;22.6
970455749.0;3XENCOSTOLOMBAR;Kit 3 Encosto Lombar Ortopédico Corrige Postura Anatômico;5.0;36.0
1032746549.0;3XFAIXA-YOGA;Kit com 3 Faixa de yoga;27.0;9.15
;KIT-ELASTICO-HAND-MINI;;0.0;0.0
1021392729.0;Kit-Completo-1;Kit Completo (Elástico + Miniband + Corda + Hand Grip + Exercitador de Dedos);216.0;38.37
1008589094.0;Kit-Fitness;Kits com kit elastico - Kit Fitness (Elástico + Miniband + Corda);216.0;27.04
1008589098.0;Kit-Força;Kits com kit elastico - Kit Força (Elástico + Miniband + Hand Grip);216.0;28.26
1008589088.0;Kit-Power;Kits com kit elastico - Kit Power (Elástico + Miniband + Corda + Hand Grip);216.0;33.37
1025488129.0;KIT-Regata-MeF-1;Kit Regata Masculina e Feminina - Masculino - P/M;25.0;12.13
1025488140.0;KIT-Regata-MeF-2;Kit Regata Masculina e Feminina - Masculino - G/GG;0.0;12.13
1025488153.0;KIT-Regata-MeF-3;Kit Regata Masculina e Feminina - Masculino - 2XG/3XG;159.0;12.13
1025488135.0;KIT-Regata-MeF-4;Kit Regata Masculina e Feminina - Feminino - P/M;26.0;12.14
1025488144.0;KIT-Regata-MeF-5;Kit Regata Masculina e Feminina - Feminino - G/GG;57.0;12.13
1025488157.0;KIT-Regata-MeF-6;Kit Regata Masculina e Feminina - Feminino - 2XG/3XG;89.0;12.37
970870118.0;KITELASTICO-MINIBAND-CORDAFIT;Kit 17 Itens - Elasticos Extensor + Mini Band + Corda Pular;216.0;27.04
1010992277.0;HANDGRIP2;Kit de exercitador de dedos + hand ( shopee) - HandGrip;264.0;6.33
1010992299.0;EXERCDEDOS2;Kit de exercitador de dedos + hand ( shopee) - Exercitador de Dedos;1071.0;5.0
1008589104.0;Kit-Básico;Kits com kit elastico - Kit Básico (Elástico + Miniband);215.0;21.93
1008589082.0;Kit-Completo;Kits com kit elastico - Kit Completo (Elástico + Miniband + Corda + Hand Grip + Exercitador de Dedos);216.0;38.37
;KIT-ELÁSTICO;;0.0;0.0
;2BLOCOYOGA;;0.0;0.0
;3XENCOSTOLOMBAR_FBA;;0.0;0.0
;ASSENTOAREDONDO;;0.0;0.0
;ASSENTOREDONDO_FBA;;0.0;0.0
;CINTA-404-B-PRETA-P;;0.0;0.0
;HIPBAND-HIDRO_+FBA;;0.0;0.0
;JCBLOCOYOGA2X;;0.0;0.0
;JOELHEIRAMGG;;0.0;0.0
;KIT ELASTICO;;0.0;0.0
;KIT18-KITELAST+MINI+HAND+CORDA;;0.0;0.0
;KIT2HAND+DEDOS;;0.0;0.0
;KITELASTICO/HAND/MINI;;0.0;0.0
;KITELASTICO/MINIBAND;;0.0;0.0
;PALMEX-HIDROLIGHT_FBA;;0.0;0.0
;PROTETOR-PALMAR-PALMEX-HIDROLIG;;0.0;0.0
;REGATAQUEIMA-2XG/3XG;;0.0;0.0
;REGATAQUEIMA-G/GG;;0.0;0.0
;REGATAQUEIMA-P/M;;0.0;0.0
;kit elastico;;0.0;0.0
;KITELASTICO/MINIBAND/CORDAFIT;;0.0;0.0
1008589110.0;Kit-Elástico2;Kits com kit elastico - Kit Elástico (Elástico);207.0;17.34
996799948.0;EPROSAGLITER-V;Par Esfera De Vidro Pequena Para Cromoterapia Massagem Facial Crioterapia Design de Sobrancelhas Com ou Sem Gliter - Ros;21.0;13.25
996799793.0;EPAZULGLITER-V;Par Esfera De Vidro Pequena Para Cromoterapia Massagem Facial Crioterapia Design de Sobrancelhas Com ou Sem Gliter - Azu;50.0;12.21
;ASSENTOREDONDO;;0.0;0.0
996799718.0;EPAZUL-V;Par Esfera De Vidro Pequena Para Cromoterapia Massagem Facial Crioterapia Design de Sobrancelhas Com ou Sem Gliter - Azu;22.0;12.21
;EPVERMELHA-V;;0.0;0.0
;EPVERDE-V;;0.0;0.0
;EPVERDEGLITER-V;;0.0;0.0
996799749.0;EPAMARELA-V;Par Esfera De Vidro Pequena Para Cromoterapia Massagem Facial Crioterapia Design de Sobrancelhas Com ou Sem Gliter - Ama;1.0;12.21
996799936.0;EPROSA-V;Par Esfera De Vidro Pequena Para Cromoterapia Massagem Facial Crioterapia Design de Sobrancelhas Com ou Sem Gliter - Ros;14.0;12.21
996799877.0;EPLILAS-V;Par Esfera De Vidro Pequena Para Cromoterapia Massagem Facial Crioterapia Design de Sobrancelhas Com ou Sem Gliter - lil;15.0;12.21
996799893.0;EPAMARELAGLITER-V;Par Esfera De Vidro Pequena Para Cromoterapia Massagem Facial Crioterapia Design de Sobrancelhas Com ou Sem Gliter - Ama;0.0;12.21
